id	일시	자치구	승차총승객수	하차총승객수
1	20200101	강남구	120028.0	110788.0
2	20200101	강동구	55315.0	54410.0
3	20200101	강북구	108699.0	106508.0
4	20200101	강서구	94028.0	93477.0
5	20200101	관악구	155048.0	158412.0
6	20200101	광진구	60322.0	59204.0
7	20200101	구로구	109457.0	104644.0
8	20200101	금천구	75903.0	72385.0
9	20200101	노원구	85501.0	84114.0
10	20200101	도봉구	70590.0	69621.0
11	20200101	동대문구	96705.0	96230.0
12	20200101	동작구	107999.0	104395.0
13	20200101	마포구	103513.0	99347.0
14	20200101	서대문구	114080.0	111531.0
15	20200101	서초구	117192.0	111187.0
16	20200101	성동구	52389.0	50448.0
17	20200101	성북구	118320.0	120311.0
18	20200101	송파구	107303.0	105309.0
19	20200101	양천구	74793.0	72668.0
20	20200101	영등포구	110341.0	109877.0
21	20200101	용산구	84145.0	76740.0
22	20200101	은평구	102864.0	101851.0
23	20200101	종로구	103995.0	96216.0
24	20200101	중구	78988.0	72215.0
25	20200101	중랑구	71169.0	70624.0
26	20200102	강남구	349111.0	329189.0
27	20200102	강동구	118479.0	115525.0
28	20200102	강북구	196073.0	189091.0
29	20200102	강서구	197691.0	195508.0
30	20200102	관악구	296211.0	302168.0
31	20200102	광진구	109477.0	109269.0
32	20200102	구로구	225937.0	216561.0
33	20200102	금천구	156379.0	147522.0
34	20200102	노원구	175033.0	170716.0
35	20200102	도봉구	140869.0	136533.0
36	20200102	동대문구	210556.0	206065.0
37	20200102	동작구	225322.0	215972.0
38	20200102	마포구	216339.0	211098.0
39	20200102	서대문구	238967.0	233016.0
40	20200102	서초구	315949.0	303759.0
41	20200102	성동구	111755.0	107978.0
42	20200102	성북구	241459.0	241932.0
43	20200102	송파구	224338.0	221952.0
44	20200102	양천구	168015.0	160306.0
45	20200102	영등포구	235941.0	238856.0
46	20200102	용산구	159570.0	153746.0
47	20200102	은평구	203421.0	199924.0
48	20200102	종로구	216601.0	207987.0
49	20200102	중구	151432.0	145516.0
50	20200102	중랑구	143584.0	140498.0
51	20200103	강남구	367220.0	346606.0
52	20200103	강동구	125468.0	122964.0
53	20200103	강북구	205920.0	199859.0
54	20200103	강서구	208239.0	205193.0
55	20200103	관악구	311584.0	317254.0
56	20200103	광진구	115766.0	114947.0
57	20200103	구로구	236595.0	227690.0
58	20200103	금천구	163924.0	154424.0
59	20200103	노원구	184938.0	181238.0
60	20200103	도봉구	148472.0	143609.0
61	20200103	동대문구	223093.0	218650.0
62	20200103	동작구	239044.0	227640.0
63	20200103	마포구	231228.0	225731.0
64	20200103	서대문구	250264.0	242604.0
65	20200103	서초구	334500.0	320879.0
66	20200103	성동구	118230.0	114105.0
67	20200103	성북구	253555.0	252837.0
68	20200103	송파구	237237.0	233519.0
69	20200103	양천구	178148.0	169603.0
70	20200103	영등포구	249952.0	254888.0
71	20200103	용산구	168571.0	163648.0
72	20200103	은평구	212487.0	208592.0
73	20200103	종로구	229491.0	221935.0
74	20200103	중구	161218.0	154376.0
75	20200103	중랑구	150654.0	147712.0
76	20200104	강남구	233904.0	216432.0
77	20200104	강동구	90126.0	88941.0
78	20200104	강북구	162715.0	159524.0
79	20200104	강서구	150774.0	149416.0
80	20200104	관악구	237800.0	242632.0
81	20200104	광진구	90119.0	89814.0
82	20200104	구로구	172073.0	165423.0
83	20200104	금천구	116827.0	109307.0
84	20200104	노원구	138337.0	136282.0
85	20200104	도봉구	111012.0	107896.0
86	20200104	동대문구	166610.0	164017.0
87	20200104	동작구	171989.0	162672.0
88	20200104	마포구	163973.0	160523.0
89	20200104	서대문구	181709.0	173904.0
90	20200104	서초구	220584.0	211469.0
91	20200104	성동구	84925.0	81973.0
92	20200104	성북구	190403.0	190195.0
93	20200104	송파구	170671.0	168995.0
94	20200104	양천구	128273.0	121046.0
95	20200104	영등포구	167911.0	170930.0
96	20200104	용산구	126178.0	123195.0
97	20200104	은평구	159436.0	157098.0
98	20200104	종로구	164776.0	156735.0
99	20200104	중구	114663.0	110120.0
100	20200104	중랑구	113887.0	112579.0
101	20200105	강남구	167387.0	154651.0
102	20200105	강동구	74426.0	72650.0
103	20200105	강북구	129103.0	126395.0
104	20200105	강서구	114817.0	114484.0
105	20200105	관악구	190384.0	193075.0
106	20200105	광진구	70317.0	69631.0
107	20200105	구로구	133814.0	128169.0
108	20200105	금천구	87822.0	83262.0
109	20200105	노원구	107660.0	105762.0
110	20200105	도봉구	86898.0	85008.0
111	20200105	동대문구	127538.0	125920.0
112	20200105	동작구	135973.0	131081.0
113	20200105	마포구	126704.0	123991.0
114	20200105	서대문구	141051.0	136677.0
115	20200105	서초구	164552.0	157565.0
116	20200105	성동구	63806.0	61089.0
117	20200105	성북구	149069.0	150378.0
118	20200105	송파구	133011.0	132450.0
119	20200105	양천구	96988.0	92905.0
120	20200105	영등포구	138289.0	138973.0
121	20200105	용산구	105342.0	100478.0
122	20200105	은평구	123130.0	121905.0
123	20200105	종로구	127601.0	120009.0
124	20200105	중구	90043.0	83348.0
125	20200105	중랑구	88148.0	86535.0
126	20200106	강남구	354993.0	335026.0
127	20200106	강동구	123081.0	119652.0
128	20200106	강북구	201829.0	193710.0
129	20200106	강서구	203927.0	201147.0
130	20200106	관악구	307035.0	311941.0
131	20200106	광진구	113652.0	113107.0
132	20200106	구로구	237473.0	227309.0
133	20200106	금천구	162719.0	154304.0
134	20200106	노원구	181790.0	177792.0
135	20200106	도봉구	146849.0	142879.0
136	20200106	동대문구	220913.0	215979.0
137	20200106	동작구	235317.0	225460.0
138	20200106	마포구	220176.0	214087.0
139	20200106	서대문구	246475.0	239686.0
140	20200106	서초구	322885.0	311043.0
141	20200106	성동구	117265.0	113428.0
142	20200106	성북구	250210.0	250376.0
143	20200106	송파구	229413.0	226684.0
144	20200106	양천구	172774.0	165009.0
145	20200106	영등포구	243389.0	247016.0
146	20200106	용산구	161249.0	156181.0
147	20200106	은평구	208698.0	204958.0
148	20200106	종로구	217752.0	210176.0
149	20200106	중구	151548.0	144547.0
150	20200106	중랑구	148941.0	145829.0
151	20200107	강남구	348322.0	326804.0
152	20200107	강동구	121092.0	117200.0
153	20200107	강북구	192249.0	184545.0
154	20200107	강서구	199296.0	195798.0
155	20200107	관악구	298372.0	301770.0
156	20200107	광진구	111424.0	110610.0
157	20200107	구로구	230376.0	219335.0
158	20200107	금천구	157573.0	149460.0
159	20200107	노원구	179815.0	174607.0
160	20200107	도봉구	143437.0	138107.0
161	20200107	동대문구	212427.0	207561.0
162	20200107	동작구	229051.0	218070.0
163	20200107	마포구	214350.0	207728.0
164	20200107	서대문구	239803.0	232674.0
165	20200107	서초구	313549.0	299928.0
166	20200107	성동구	116258.0	111792.0
167	20200107	성북구	243773.0	242311.0
168	20200107	송파구	224536.0	219944.0
169	20200107	양천구	169587.0	160981.0
170	20200107	영등포구	237326.0	239232.0
171	20200107	용산구	156975.0	151123.0
172	20200107	은평구	203346.0	198798.0
173	20200107	종로구	210798.0	201727.0
174	20200107	중구	143012.0	135367.0
175	20200107	중랑구	145209.0	141945.0
176	20200108	강남구	367416.0	347585.0
177	20200108	강동구	126401.0	123092.0
178	20200108	강북구	205285.0	198191.0
179	20200108	강서구	208542.0	206340.0
180	20200108	관악구	312682.0	317539.0
181	20200108	광진구	116030.0	115806.0
182	20200108	구로구	238972.0	229205.0
183	20200108	금천구	163285.0	155266.0
184	20200108	노원구	185266.0	181239.0
185	20200108	도봉구	148350.0	144331.0
186	20200108	동대문구	226421.0	222004.0
187	20200108	동작구	240178.0	230463.0
188	20200108	마포구	225939.0	220995.0
189	20200108	서대문구	250553.0	243241.0
190	20200108	서초구	335907.0	323412.0
191	20200108	성동구	120585.0	117032.0
192	20200108	성북구	255724.0	255180.0
193	20200108	송파구	237380.0	233734.0
194	20200108	양천구	177043.0	168910.0
195	20200108	영등포구	250880.0	253410.0
196	20200108	용산구	166900.0	161614.0
197	20200108	은평구	212067.0	208810.0
198	20200108	종로구	229301.0	220077.0
199	20200108	중구	158395.0	150784.0
200	20200108	중랑구	150894.0	147835.0
201	20200109	강남구	368721.0	348086.0
202	20200109	강동구	125744.0	122419.0
203	20200109	강북구	203932.0	196987.0
204	20200109	강서구	207750.0	205296.0
205	20200109	관악구	312180.0	316625.0
206	20200109	광진구	115818.0	115537.0
207	20200109	구로구	238411.0	229031.0
208	20200109	금천구	163659.0	154883.0
209	20200109	노원구	186266.0	181961.0
210	20200109	도봉구	148773.0	144802.0
211	20200109	동대문구	225996.0	221928.0
212	20200109	동작구	239600.0	229824.0
213	20200109	마포구	227148.0	221748.0
214	20200109	서대문구	250952.0	243887.0
215	20200109	서초구	339132.0	327108.0
216	20200109	성동구	118952.0	115360.0
217	20200109	성북구	257061.0	257074.0
218	20200109	송파구	235924.0	232407.0
219	20200109	양천구	175826.0	167749.0
220	20200109	영등포구	247036.0	250903.0
221	20200109	용산구	169565.0	164064.0
222	20200109	은평구	212401.0	209182.0
223	20200109	종로구	233075.0	224214.0
224	20200109	중구	161849.0	154221.0
225	20200109	중랑구	150541.0	147422.0
226	20200110	강남구	376719.0	355597.0
227	20200110	강동구	128415.0	125647.0
228	20200110	강북구	209266.0	203192.0
229	20200110	강서구	212771.0	210233.0
230	20200110	관악구	320502.0	326350.0
231	20200110	광진구	119506.0	118841.0
232	20200110	구로구	242296.0	233421.0
233	20200110	금천구	168350.0	158835.0
234	20200110	노원구	188012.0	184197.0
235	20200110	도봉구	152372.0	147505.0
236	20200110	동대문구	230626.0	226446.0
237	20200110	동작구	246014.0	233999.0
238	20200110	마포구	234104.0	229022.0
239	20200110	서대문구	255651.0	247736.0
240	20200110	서초구	344493.0	330925.0
241	20200110	성동구	122308.0	118038.0
242	20200110	성북구	260378.0	258960.0
243	20200110	송파구	242277.0	238875.0
244	20200110	양천구	180975.0	172085.0
245	20200110	영등포구	256085.0	260796.0
246	20200110	용산구	173862.0	169146.0
247	20200110	은평구	217850.0	214011.0
248	20200110	종로구	240212.0	230435.0
