id	일시	자치구	승차총승객수	하차총승객수
1	20200101	강남구	195486.0	191443.0
2	20200101	강동구	69689.0	70369.0
3	20200101	강북구	41977.0	41002.0
4	20200101	강서구	116679.0	118011.0
5	20200101	관악구	61337.0	63849.0
6	20200101	광진구	82173.0	80906.0
7	20200101	구로구	96359.0	97825.0
8	20200101	금천구	26979.0	28114.0
9	20200101	노원구	94138.0	95409.0
10	20200101	도봉구	34225.0	34840.0
11	20200101	동대문구	49921.0	49847.0
12	20200101	동작구	103080.0	106339.0
13	20200101	마포구	188773.0	180446.0
14	20200101	서대문구	16459.0	16772.0
15	20200101	서초구	88745.0	84186.0
16	20200101	성동구	59285.0	60324.0
17	20200101	성북구	50466.0	49636.0
18	20200101	송파구	95012.0	95195.0
19	20200101	양천구	31513.0	32539.0
20	20200101	영등포구	114841.0	115093.0
21	20200101	용산구	73877.0	63036.0
22	20200101	은평구	78447.0	80003.0
23	20200101	종로구	137770.0	132234.0
24	20200101	중구	171046.0	165228.0
25	20200101	중랑구	36492.0	36951.0
26	20200102	강남구	661052.0	691409.0
27	20200102	강동구	169166.0	164765.0
28	20200102	강북구	86984.0	84618.0
29	20200102	강서구	261816.0	253401.0
30	20200102	관악구	130156.0	126547.0
31	20200102	광진구	146910.0	146654.0
32	20200102	구로구	230936.0	228669.0
33	20200102	금천구	100802.0	104112.0
34	20200102	노원구	211909.0	207910.0
35	20200102	도봉구	70630.0	69388.0
36	20200102	동대문구	109380.0	108389.0
37	20200102	동작구	225590.0	225084.0
38	20200102	마포구	335067.0	346697.0
39	20200102	서대문구	37489.0	36411.0
40	20200102	서초구	183961.0	182514.0
41	20200102	성동구	165565.0	168575.0
42	20200102	성북구	120256.0	113182.0
43	20200102	송파구	241263.0	239567.0
44	20200102	양천구	84217.0	84868.0
45	20200102	영등포구	311052.0	316854.0
46	20200102	용산구	113349.0	114631.0
47	20200102	은평구	183244.0	176290.0
48	20200102	종로구	285310.0	289699.0
49	20200102	중구	357942.0	364481.0
50	20200102	중랑구	80750.0	78576.0
51	20200103	강남구	709674.0	750341.0
52	20200103	강동구	178307.0	173245.0
53	20200103	강북구	91813.0	88029.0
54	20200103	강서구	276896.0	263635.0
55	20200103	관악구	138013.0	131518.0
56	20200103	광진구	157978.0	159931.0
57	20200103	구로구	240201.0	239690.0
58	20200103	금천구	102851.0	106475.0
