iter	RMSE
0	0.2412074691
1	0.2410309955
2	0.2407057934
3	0.2405077969
4	0.2402679262
5	0.2400515139
6	0.2399675205
7	0.2398469437
8	0.2398452832
9	0.2395705345
10	0.2392449114
11	0.239087816
12	0.2390246829
13	0.2388873244
14	0.2387758317
15	0.2385921679
16	0.2384066282
17	0.2384054458
18	0.2383579382
19	0.2381433748
20	0.2378511419
21	0.2375780427
22	0.2372998354
23	0.2371949864
24	0.237111378
25	0.2369270625
26	0.2367993882
27	0.2366163127
28	0.2365056678
29	0.2363534158
30	0.2363231425
31	0.2362069882
32	0.2361394917
33	0.2360108019
34	0.2358495689
35	0.2358376122
36	0.2356409465
37	0.2355725104
38	0.2355319379
39	0.2354471801
40	0.2352547519
41	0.2350915327
42	0.2348608162
43	0.2348206753
44	0.2347632469
45	0.2345005276
46	0.2342670987
47	0.2341762958
48	0.2339899436
49	0.2336716415
50	0.2335249528
51	0.2335028678
52	0.2334441142
53	0.2334188496
54	0.2333292719
55	0.2332337149
56	0.2331417443
57	0.2329502272
58	0.2328529826
59	0.2326881836
60	0.2325537314
61	0.2324181454
62	0.2324180882
63	0.232230964
64	0.2320745454
65	0.2320257822
66	0.2320180277
67	0.2319812597
68	0.2319780895
69	0.2318055511
70	0.231658865
71	0.2316199652
72	0.2316065529
73	0.2315047501
74	0.2315034743
75	0.2314997596
76	0.2313614646
77	0.2312875495
78	0.2312181894
79	0.2311911517
80	0.2310868185
81	0.2308219947
82	0.2307228957
83	0.2306796777
84	0.2306417097
85	0.2304696799
86	0.2302794839
87	0.2300518705
88	0.2299827161
89	0.229792096
90	0.2297481017
91	0.2295514253
92	0.2294628257
93	0.2293716693
94	0.2291704502
95	0.2291100787
96	0.2289637744
97	0.2288126624
98	0.2287687124
99	0.2286403566
100	0.2285293997
101	0.2285287317
102	0.2284640941
103	0.2283059793
104	0.2283058991
105	0.228155345
106	0.2280382049
107	0.2279826295
108	0.2278898526
109	0.2277294369
110	0.2276681144
111	0.2274541428
112	0.2273614672
113	0.2272726137
114	0.2270508953
115	0.2269513064
116	0.2269457469
117	0.2268557046
118	0.226816724
119	0.2267293291
120	0.2265592599
121	0.2264781892
122	0.2263536806
123	0.226266452
124	0.2261318115
125	0.2260146053
126	0.225934937
127	0.2258729037
128	0.2257430818
129	0.2256649959
130	0.2255987394
131	0.2255259513
132	0.225339926
133	0.2253002454
134	0.2251865506
135	0.2250800702
136	0.2249626608
137	0.2248506754
138	0.2247062003
139	0.224688384
140	0.2246376138
141	0.2245409365
142	0.2244393004
143	0.224276333
144	0.2242064565
145	0.2241368645
146	0.2239543251
147	0.2237037169
148	0.2236234634
149	0.2235030853
150	0.2234404713
151	0.2233061423
152	0.2232063647
153	0.2231451368
154	0.2230973269
155	0.2230117414
156	0.2228495885
157	0.2227154965
158	0.2226053363
159	0.2224827414
160	0.2223552721
161	0.2222639837
162	0.222124928
163	0.2220915422
164	0.2220383913
165	0.2219665393
166	0.2218791694
167	0.2217138645
168	0.2214918352
169	0.221437952
170	0.2213065237
171	0.2210907979
172	0.2208716981
173	0.2208576783
174	0.2207752813
175	0.2207131647
176	0.2206179761
177	0.2205559057
178	0.2204349072
179	0.2203291341
180	0.220127263
181	0.2200533834
182	0.2200362411
183	0.2198976111
184	0.2198035888
185	0.2197164781
186	0.2194852819
187	0.219318426
188	0.2191564543
189	0.2190984102
190	0.2190214364
191	0.2189087507
192	0.2188059303
193	0.218702993
194	0.2185493218
195	0.2183999329
196	0.2182948166
197	0.2182547533
198	0.2180687268
199	0.2180412187
200	0.2178473868
201	0.2177520629
202	0.2176335223
203	0.2174344794
204	0.2173148911
205	0.2171989721
206	0.2170649171
207	0.2168745686
208	0.216762887
209	0.216633675
210	0.2165417476
211	0.2164286427
212	0.216296162
213	0.2162522086
214	0.2161210079
215	0.2160365743
216	0.2159589368
217	0.2158548944
218	0.2157644916
219	0.2156411349
220	0.2155317901
221	0.2153990873
222	0.2152851537
223	0.2151869465
224	0.2150701198
225	0.21498196
226	0.2148724958
227	0.2146825385
228	0.2144871271
229	0.2143723069
230	0.2143411833
231	0.2141915922
232	0.2140867328
233	0.213998552
234	0.2138171265
235	0.2136372401
236	0.2135821277
237	0.213475217
238	0.2134042026
239	0.2133010309
240	0.2131710424
241	0.2130786657
242	0.2130580958
243	0.2129961698
244	0.2128050459
245	0.2126918469
246	0.2126010857
247	0.2124981078
248	0.2124697998
249	0.2124414855
250	0.2123937871
251	0.2122572554
252	0.2121273891
253	0.2120202855
254	0.2119108055
255	0.2118273376
256	0.2117137108
257	0.211499702
258	0.2113328842
259	0.2112535907
260	0.2111298073
261	0.2110618603
262	0.2109496995
263	0.210891762
264	0.210744659
265	0.2106387162
266	0.2105396737
267	0.2105020356
268	0.2103616647
269	0.2102169663
270	0.2101933038
271	0.2101032846
272	0.2099480112
273	0.209860469
274	0.2097561657
275	0.2095677818
276	0.2094636849
277	0.2093651579
278	0.2092338394
279	0.2091434751
280	0.2090488326
281	0.2090100077
282	0.2089029702
283	0.2087281118
284	0.2086461981
285	0.2085860865
286	0.208431982
