iter	Passed	Remaining
0	20	20867
1	44	22167
2	70	23583
3	94	23554
4	118	23649
5	143	23713
6	171	24274
7	193	24053
8	203	22378
9	225	22301
10	249	22430
11	274	22583
12	297	22583
13	321	22642
14	346	22764
15	370	22765
16	392	22711
17	400	21838
18	421	21760
19	443	21722
20	467	21789
21	490	21790
22	512	21787
23	535	21784
24	558	21766
25	582	21807
26	604	21782
27	627	21787
28	651	21797
29	674	21812
30	698	21825
31	720	21786
32	746	21870
33	769	21858
34	793	21881
35	801	21456
36	823	21425
37	845	21411
38	874	21540
39	897	21530
40	919	21505
41	944	21540
42	967	21535
43	991	21539
44	1014	21526
45	1036	21500
46	1060	21495
47	1082	21476
48	1106	21481
49	1131	21497
50	1156	21519
51	1170	21337
52	1194	21338
53	1217	21328
54	1239	21302
55	1263	21297
56	1287	21303
57	1311	21295
58	1334	21288
59	1357	21269
60	1380	21247
61	1404	21245
62	1415	21051
63	1438	21033
64	1460	21004
65	1482	20978
66	1496	20844
67	1518	20813
68	1530	20657
69	1553	20640
70	1577	20636
71	1601	20646
72	1612	20478
73	1636	20478
74	1651	20366
75	1664	20240
76	1687	20231
77	1709	20211
78	1734	20217
79	1755	20192
80	1778	20174
81	1800	20161
82	1825	20164
83	1848	20159
84	1863	20063
85	1885	20038
86	1907	20014
87	1934	20046
88	1957	20032
89	1980	20021
90	1995	19936
91	2017	19914
92	2040	19901
93	2064	19896
94	2087	19889
95	2110	19875
96	2134	19867
97	2156	19852
98	2179	19831
99	2201	19811
100	2223	19793
101	2238	19709
102	2259	19679
103	2281	19659
104	2289	19519
105	2312	19504
106	2336	19500
107	2361	19504
108	2383	19487
109	2407	19480
110	2430	19467
111	2459	19498
112	2483	19497
113	2507	19489
114	2530	19470
115	2554	19468
116	2569	19392
117	2592	19376
118	2614	19357
119	2637	19341
120	2661	19335
121	2684	19321
122	2708	19310
123	2733	19312
124	2758	19309
125	2781	19294
126	2804	19280
127	2827	19262
128	2851	19252
129	2874	19239
130	2897	19222
131	2920	19203
132	2942	19183
133	2965	19165
134	2989	19153
135	3011	19131
136	3034	19117
137	3057	19101
138	3081	19086
139	3095	19015
140	3119	19003
141	3141	18980
142	3164	18962
143	3187	18947
144	3210	18928
145	3233	18911
146	3257	18902
147	3284	18906
148	3306	18885
149	3329	18867
150	3352	18848
151	3374	18827
152	3399	18819
153	3421	18795
154	3440	18754
155	3468	18767
156	3492	18753
157	3517	18745
158	3540	18726
159	3564	18712
160	3587	18693
161	3611	18681
162	3634	18663
163	3656	18641
164	3681	18629
165	3704	18612
166	3728	18596
167	3750	18576
168	3773	18555
169	3797	18542
170	3821	18524
171	3844	18507
172	3868	18491
173	3895	18490
174	3924	18501
175	3948	18486
176	3972	18472
177	3996	18455
178	4019	18433
179	4043	18421
180	4065	18397
181	4089	18381
182	4112	18360
183	4134	18335
184	4156	18313
185	4180	18293
186	4203	18275
187	4231	18278
188	4268	18314
189	4294	18309
190	4320	18298
191	4344	18284
192	4367	18263
193	4390	18242
194	4415	18228
195	4438	18207
196	4461	18185
197	4485	18167
198	4507	18143
199	4530	18122
200	4554	18104
201	4576	18079
202	4600	18061
203	4623	18039
204	4647	18022
205	4669	17998
206	4692	17975
207	4715	17956
208	4741	17945
209	4766	17929
210	4793	17924
211	4818	17911
212	4842	17892
213	4865	17871
214	4889	17853
215	4911	17828
216	4934	17806
217	4958	17786
218	4982	17766
219	5005	17745
220	5027	17721
221	5052	17707
222	5076	17686
223	5099	17664
224	5122	17643
225	5147	17627
226	5171	17610
227	5193	17585
228	5216	17564
229	5239	17541
230	5266	17533
231	5291	17516
232	5316	17499
233	5340	17483
234	5373	17491
235	5405	17499
236	5432	17490
237	5459	17478
238	5488	17475
239	5514	17462
240	5540	17448
241	5564	17427
242	5586	17402
243	5609	17380
244	5632	17357
245	5655	17333
246	5680	17317
247	5702	17292
248	5725	17268
249	5747	17243
250	5775	17233
251	5802	17224
252	5828	17208
253	5850	17184
254	5874	17162
255	5898	17141
256	5922	17123
257	5949	17111
258	5974	17091
259	5998	17071
260	6021	17049
261	6044	17026
262	6067	17002
263	6092	16984
264	6115	16962
265	6139	16940
266	6161	16916
267	6184	16892
268	6208	16872
269	6231	16848
270	6254	16824
271	6277	16801
272	6301	16780
273	6324	16757
274	6348	16736
275	6372	16716
276	6395	16693
277	6420	16673
278	6442	16649
279	6465	16625
280	6489	16603
281	6512	16581
282	6535	16557
283	6557	16532
284	6579	16506
285	6603	16485
286	6626	16461
